,fold,best_score,R-square,best_params
0,0.0,-0.010220439955088194,0.9986215950037297,{'lr': 0.002}
1,1.0,-0.018294510861283357,0.9974772656694588,{'lr': 0.005}
2,2.0,-0.015185536142016195,0.9981790772695123,{'lr': 0.002}
3,3.0,-0.011682306105883932,0.9979067545561212,{'lr': 0.002}
4,4.0,-0.011548881936276822,0.9988377614694928,{'lr': 0.002}
5,5.0,-0.011399902686526046,0.9989935607565165,{'lr': 0.005}
6,6.0,-0.011271476957755888,0.998901156702392,{'lr': 0.002}
7,7.0,-0.010851112948011934,0.998484777160427,{'lr': 0.005}
8,8.0,-0.011395975282633137,0.9989753734560943,{'lr': 0.001}
9,9.0,-0.010106266051568013,0.9992710041033653,{'lr': 0.002}
